"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,0,244270.602533247,0,957517.578828001,0,61637.849395964,231775.844073062,77690.7905873544,22268.7406835874,5755.42319451341,51066.5513166551,627612.774564703,2279596.15517709,"1_256_6",5,FALSE
"2",2016-01-11,2464131.66666667,0,179499.776268693,0,1023116.01645984,0,31271.8229268651,235353.341193193,123576.062890375,29320.4356321434,7045.03690634786,53083.9428075109,627612.774564703,2309879.20964967,"1_256_6",5,FALSE
"3",2016-01-18,2012520,0,118846.338917634,0,920338.916133147,0,12789.7792121644,234038.368246463,57745.4601932673,33740.4215277048,7981.67978269244,53349.9509999232,627612.774564703,2066443.6895777,"1_256_6",5,FALSE
"4",2016-01-25,1738911.66666667,0,85218.8509484234,0,759959.477437818,0,5299.31884756093,229673.113140627,52629.8996721498,34969.9179615114,8855.64649107447,45294.1533901403,627612.774564703,1849513.15245401,"1_256_6",5,FALSE
"5",2016-02-01,1772306.66666667,0,70364.9927432367,0,752367.837300838,0,20786.1510725388,226803.788811403,13769.2385962305,23473.1630314836,9587.12445933295,31801.1178388361,627612.774564703,1776566.1884186,"1_256_6",5,FALSE
"6",2016-02-08,1809058.33333333,0,53611.6707088,0,806244.236692378,0,7702.38553198049,220095.27524681,8238.49182897049,28783.4239747184,10245.7081463297,25522.744809759,627612.774564703,1788056.71150445,"1_256_6",5,FALSE
"7",2016-02-15,1952740,0,25062.6134309616,0,799435.017655308,0,157500.434743606,211585.12884027,4184.60849779108,24560.0249732574,10050.0496478315,34627.2048494375,627612.774564703,1894617.85720317,"1_256_6",5,FALSE
"8",2016-02-22,1507805,0,-12011.347765524,0,690178.471143272,0,65907.8737451429,201678.117289219,745.004285736165,16415.5975066475,9731.03382554422,41939.4849342518,627612.774564703,1642197.00952899,"1_256_6",5,FALSE
"9",2016-02-29,1510391.66666667,0,-52504.7963516065,0,626255.120340702,0,138205.599227765,190651.100843986,70.6939964481195,18048.6423947727,10025.3331478441,18783.4950752754,627612.774564703,1577147.96323989,"1_256_6",5,FALSE
"10",2016-03-07,1588840,0,-93657.648197677,0,685934.533427807,0,58512.960243184,178742.086286575,29006.3590431872,11953.9023296825,10503.7032759162,14534.8355474883,627612.774564703,1523143.50652087,"1_256_6",5,FALSE
"11",2016-03-14,1605990,0,-129690.991872965,0,678029.183479755,0,69371.5573746782,175040.070841009,13697.6978278289,7952.43173277098,10861.7974967934,10055.8708318241,627612.774564703,1462930.3922764,"1_256_6",5,FALSE
"12",2016-03-21,1356010,0,-152655.35821433,14605.216043683,620607.65728669,0,27853.0821366554,166556.262292144,2245.53585546621,5300.15595473565,11178.9476329031,9771.65234786984,627612.774564703,1333075.92590052,"1_256_6",5,FALSE
"13",2016-03-28,2103936.66666667,0,-164414.757589224,759433.572477051,618759.034701974,0,11301.296041277,171676.947607506,25173.420248752,18303.8178364379,11548.6194289724,12611.5044105782,627612.774564703,2092006.22972803,"1_256_6",5,FALSE
"14",2016-04-04,1120835,0,-181872.994016694,0,513262.749903475,0,4657.08634452941,167825.686996999,9685.63660053852,11865.9893905645,11719.3369713437,14146.0730553948,627612.774564703,1178902.33981085,"1_256_6",5,FALSE
"15",2016-04-11,1141140,0,-220377.137730481,0,517439.415055515,0,1950.8127304265,175686.829115776,1442.15018872302,7785.33071219236,11844.6635021863,8326.86162243546,627612.774564703,1131711.69976148,"1_256_6",5,FALSE
"16",2016-04-18,1166880,0,-270609.84875383,0,502949.591348609,0,8860.11132691621,173676.350180475,108.175195052919,9754.57950442717,11921.7100368639,13003.4692435658,627612.774564703,1077276.91264678,"1_256_6",5,FALSE
"17",2016-04-25,888806.666666667,0,-300811.628026225,261944.242889489,406446.961825235,0,3236.69138602069,169068.788730477,4.71930958568713,6354.27209323235,11981.9042495988,11123.3524401162,627612.774564703,1196962.07946223,"1_256_6",5,FALSE
