"","facebook_S_alphas","facebook_S_gammas","facebook_S_scales","facebook_S_shapes","newsletter_alphas","newsletter_gammas","newsletter_scales","newsletter_shapes","ooh_S_alphas","ooh_S_gammas","ooh_S_scales","ooh_S_shapes","print_S_alphas","print_S_gammas","print_S_scales","print_S_shapes","search_S_alphas","search_S_gammas","search_S_scales","search_S_shapes","tv_S_alphas","tv_S_gammas","tv_S_scales","tv_S_shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.8674575,0.9979091,0.0464525,0.844274,1.7281,0.8002578,0.0110598,1.038126,0.5840135,0.4414273,0.02757,1.512404,2.8327325,0.9129424,0.00896637,1.164922,1.30934,0.7885069,0.077056,1.21659,2.0570675,0.6452722,0.00737161,1.02744,0.6439094,0.813089499448738,0.648147341626851,0.889574251312349,0.0992030841232991,0.722177185715045,0.481061138596212,0.722177185715045,0.0299129336364107,0,839508.68673138,0.0127219,65481090.2533626,1e-04,1,0.203396081924438,282.097363233566,"1_233_1",1,233,1,1625,FALSE,TRUE,3,0.0353781336627971,2,FALSE
"2",2.8674575,0.9979091,0.0464525,0.950944,1.45747,0.7077262,0.0454332,1.038126,0.5840135,0.4414273,0.02757,1.512404,2.8327325,0.9129424,0.00896637,1.164922,1.30934,0.7885069,0.077056,1.21659,2.0570675,0.6452722,0.00737161,1.02744,0.6439094,0.809393487891558,0.624476772041099,0.857809321776228,0.100179115066428,0.746073731029898,0.545884372400922,0.746073731029898,0.0305396832578392,0,839508.68673138,0.0127219,65481090.2533626,1e-04,1,0.145451068878174,287.143394231796,"1_237_3",1,237,3,1655,FALSE,TRUE,4,0.0435415672951624,2,FALSE
"3",2.87558,0.9220032,0.0376026,0.695092,1.457175,0.8491269,0.0157178,1.148714,0.547214,0.33514581,0.0236432,1.474688,2.742745,0.9025929,0.0180926,1.219652,2.1540775,0.7768596,0.0708249,1.188472,2.0128925,0.6600562,0.00703762,1.018062,0.6440963,0.92052041553137,0.768430996885622,0.951864176166427,0.064689846081501,0.585873101521999,0.317613755630009,0.585873101521999,0.0252521200336361,0,131432.286475181,0.00190737,65481090.2533626,1e-04,1,0.159302949905396,298.855088233948,"1_247_3",1,247,3,1725,FALSE,TRUE,2,0.0148579464489798,4,FALSE
"4",2.811045,0.9309317,0.0217636,0.998372,1.55269,0.5192309,0.0138782,1.005472,0.541663,0.3919142,0.0280616,1.47844,2.774165,0.9395214,0.00434403,1.172624,1.327205,0.6935057,0.0747167,1.23393,2.05446,0.636798,0.00484872,1.05468,0.65594,0.919393378871569,0.777431758331238,0.952576865888017,0.0649325625014911,0.572850922267548,0.282264542488717,0.572850922267548,0.068739161172584,0,143068.422105072,0.00208509,65481090.2533626,1e-04,1,0.244993925094604,309.47018122673,"1_254_7",1,254,7,1778,FALSE,TRUE,3,0.0161125774868962,3,FALSE
"5",2.9742925,0.8194175,0.0302794,0.94223,1.741985,0.9919192,0.00391474,1.28004,0.52990525,0.3920955,0.0282397,1.50555,2.8053175,0.8965911,0.00512454,1.56268,1.327195,0.8625081,0.0791082,1.196878,2.073975,0.6440521,0.00619356,0.90428,0.6477305,0.918793109401836,0.788939952817922,0.958759046818316,0.0652368112278839,0.562286543787213,0.278559634920016,0.562286543787213,0.0724084896841718,0,145449.07645744,0.00212145,65481090.2533626,1e-04,1,0.171375036239624,311.903704166412,"1_256_6",1,256,6,1791,FALSE,TRUE,1,0.016437153177199,5,FALSE
"6",2.9016175,0.8198949,0.0526686,0.72998,1.4702925,0.5133593,0.0137077,1.145372,0.5432245,0.36994232,0.0283646,1.48069,2.758945,0.8952233,0.0130472,1.260722,1.5509625,0.8665037,0.0782481,1.184558,2.068425,0.6457314,0.00622931,0.897926,0.6485606,0.920538625396459,0.777425670498375,0.957745926572283,0.0645318804476924,0.577420517823215,0.28196040697553,0.577420517823215,0.0526976825413849,0,129580.011677917,0.00187908,65481090.2533626,1e-04,1,0.21415901184082,313.450148105621,"1_257_6",1,257,6,1798,FALSE,TRUE,3,0.0136482360058488,3,FALSE
"7",2.6961325,0.699707,0.0793412,0.88738,1.561625,0.5457525,0.0142505,1.122406,0.53798175,0.3809732,0.0287938,1.473244,2.7748225,0.9350309,0.0101511,1.226526,1.47216,0.6757201,0.0729152,1.208366,1.9283875,0.6314052,0.0113303,0.95131,0.6483119,0.852866580132929,0.671136327941308,0.908945856196449,0.0878116117403323,0.701879609637274,0.413907880285878,0.701879609637274,0.0359002827065681,0,583837.801857379,0.00881701,65481090.2533626,1e-04,1,0.243889093399048,313.70870923996,"1_257_7",1,257,7,1799,FALSE,TRUE,3,0.0272210587861138,2,FALSE
"8",2.790215,0.9873811,0.00971074,0.97046,1.542195,0.7878454,0.0154863,1.008146,0.54485475,0.36407709,0.0242846,1.473638,2.761205,0.9454175,0.00434403,1.172624,1.327205,0.62179,0.0687781,1.237062,2.010035,0.6482577,0.00549537,1.150788,0.6523685,0.918498507859027,0.779876219464663,0.954446771910494,0.0653550368251098,0.574233012699358,0.292761131197052,0.574233012699358,0.0724647648249904,0,144550.110993799,0.00210772,65481090.2533626,1e-04,1,0.148602962493896,315.474228143692,"1_259_2",1,259,2,1808,FALSE,TRUE,5,0.017536439400227,3,FALSE
"9",2.8921425,0.8181561,0.0651399,0.47529,1.4253475,0.8414255,0.0239493,1.082858,0.5608165,0.33453625,0.0237668,1.482842,2.744445,0.8709494,0.0224115,1.30581,2.1866375,0.9129263,0.0745376,1.217072,2.0516375,0.6428866,0.00454753,1.052648,0.640904,0.925297608880829,0.789956593590164,0.963361206063035,0.0623820700333528,0.577986744092564,0.276926437461698,0.577986744092564,0.0396961777806741,0,95952.2868325859,0.00136548,65481090.2533626,1e-04,1,0.163727045059204,316.897753238678,"1_260_3",1,260,3,1816,FALSE,TRUE,3,0.0114450466233077,3,TRUE
"10",2.9742925,0.8194175,0.0302794,0.94223,1.741985,0.9872215,0.0037783,1.39196,0.5311545,0.3745178,0.0284821,1.507352,2.7931425,0.8611522,0.0120871,1.633158,1.5062,0.9990935,0.0819334,1.157378,2.0851475,0.6440521,0.00619356,0.90428,0.6477305,0.918028925835364,0.787602712618609,0.95921868313805,0.065543042412626,0.564065006697236,0.277002992036045,0.564065006697236,0.064680954006074,0,145449.07645744,0.00212145,65481090.2533626,1e-04,1,0.165173053741455,317.828329086304,"1_261_1",1,261,1,1821,FALSE,TRUE,1,0.0150509508157839,5,FALSE
